,Rank,Country,Gold,Silber,Bronze,All
,1,미국,46,37,38,121
,2,영국,27,23,17,67
,3,중국,26,18,16,60
,4,러시아,19,18,19,56
,5,독일,17,10,15,42
,6,일본,12,8,21,41
,7,프랑스,10,18,14,42
,8,대한민국,9,3,9,21
,9,이탈리아,8,12,8,28
,10,호주,8,11,10,29
,11,네덜란드,8,7,4,19
,12,헝가리,8,3,4,15
,13,브라질,7,6,6,19
,14,스페인,7,4,6,17
,15,케냐,6,6,1,13
,16,자메이카,6,3,2,11
,17,크로아티아,5,3,2,10
,18,쿠바,5,2,4,11
,19,뉴질랜드,4,9,5,18
,20,캐나다,4,3,15,22
,21,우즈베키스탄,4,2,7,13
,22,카자흐스탄,3,5,9,17
,23,콜롬비아,3,2,3,8
,24,스위스,3,2,2,7
,25,이란,3,1,4,8
,26,그리스,3,1,2,6
,27,아르헨티나,3,1,0,4
,28,덴마크,2,6,7,15
,29,스웨덴,2,6,3,11
,30,남아프리카공화국,2,6,2,10
,31,우크라이나,2,5,4,11
,32,세르비아,2,4,2,8
,33,폴란드,2,3,6,11
,34,북한,2,3,2,7
,35,벨기에,2,2,2,6
,35,태국,2,2,2,6
,37,슬로바키아 공화국,2,2,0,4
,38,조지아,2,1,4,7
,39,아제르바이잔,1,7,10,18
,40,벨라루스,1,4,4,9
,41,터키,1,3,4,8
,42,아르메니아,1,3,0,4
,43,체코,1,2,7,10
,44,에티오피아,1,2,5,8
,45,슬로베니아,1,2,1,4
,46,인도네시아,1,2,0,3
,47,루마니아,1,1,3,5
,48,바레인,1,1,0,2
,48,베트남,1,1,0,2
,50,대만,1,0,2,3
,51,바하마,1,0,1,2
,51,개별 참가,1,0,1,2
,51,코트디부아르,1,0,1,2
,54,피지,1,0,0,1
,54,요르단,1,0,0,1
,54,코소보,1,0,0,1
,54,푸에르토리코,1,0,0,1
,54,싱가포르,1,0,0,1
,54,타지키스탄,1,0,0,1
,60,말레이시아,0,4,1,5
,61,멕시코,0,3,2,5
,62,알제리,0,2,0,2
,62,아일랜드,0,2,0,2
,64,리투아니아,0,1,3,4
,65,불가리아,0,1,2,3
,65,베네수엘라,0,1,2,3
,67,인도,0,1,1,2
,67,몽골,0,1,1,2
,69,부룬디,0,1,0,1
,69,그레나다,0,1,0,1
,69,니제르,0,1,0,1
,69,필리핀,0,1,0,1
,69,카타르,0,1,0,1
,74,노르웨이,0,0,4,4
,75,이집트,0,0,3,3
,75,튀니지,0,0,3,3
,77,이스라엘,0,0,2,2
,78,오스트리아,0,0,1,1
,78,도미니카 공화국,0,0,1,1
,78,에스토니아,0,0,1,1
,78,핀란드,0,0,1,1
,78,몰도바,0,0,1,1
,78,모로코,0,0,1,1
,78,나이지리아,0,0,1,1
,78,포르투갈,0,0,1,1
,78,트리니다드토바고,0,0,1,1
,78,아랍에미리트 공화국,0,0,1,1
,86,가나,0,0,1,1
,86,그레나다,0,0,1,1
,86,코트디부아르,0,0,1,1
,86,쿠웨이트,0,0,1,1
,86,몰도바,0,0,1,1
,86,시리아,0,0,1,1